id,name,description,updated_at
1,"Pyramids of Giza","The Great Pyramid, the tomb of King Khufu (c.2589–2566 BC), with its original height of 146.5 meters, was the tallest structure in the world for 3,800 years. It remains the last surviving member of the Seven Wonders of the Ancient World, and took an estimated 10 to 20 years to build. To this day, it is not entirely certain how this was done.

The Great Pyramid is made of local limestone, but its exterior was once entirely covered with high quality limestone. These casing stones were brought from Turah, south of Maadi, by ship. On the inside, the pyramid has three chambers, one cut into the bedrock underneath, and two high up within the masonry itself, a feature that no other pyramid possesses. The sarcophagus in which Khufu was once laid to rest can still be seen in the upper of these two rooms, the King’s Chamber. This room is accessed through the Grand Gallery, a majestic corbelled ascending passage, and a masterpiece of ancient engineering and architecture.

Two large and impressive ships were discovered in pits on the south side of the pyramid in a dismantled state. These are believed to have been used to transport the royal mummy and burial equipment to the tomb.","2026-05-10 15:00:54"
2,"Karnak Temple","Aptly called Ipet‑Sut ‘The Most Select of Places’ by the ancient Egyptians, Karnak was one of the most important sites of all. Located on the east bank of Thebes (modern Luxor), Upper Egypt, it is the site of many temples and chapels, and it was in the Great Temple of Amun that the cult of the god Amun of Thebes was conducted. As such, it was extremely wealthy and its priesthood held great political power.

The line of kings who reunified Egypt after the First Intermediate Period hailed from Thebes. It thus became one of the most important cities, a position that it would continue to hold throughout the majority of ancient Egyptian history. The importance of Amun rose in tandem with the city’s rise to prominence. From the earliest evidence for it from the reign of Intef II (c. 2112–2063 BC) to the Ptolemaic Period (305 BC–30 BC), his temple was accordingly lavished with royal attention in the form construction projects, ritual equipment and other necessities, with some additions in the Roman Period (30 BC–AD 306). Nearly every king who reigned during the New Kingdom (c. 1550–1069 BC), Egypt’s age of empire, left his mark here.

Karnak was in reality a complex of temples, consisting of several zones: In addition to the largest, the Amun Precinct, there are the Precinct of Mut, his wife, to the south; the Precinct of Montu to the north; and, to the east, Akhenaten’s temple to Aten.

Like most ancient Egyptian temples, the Great Temple of Amun is built on an east–west axis. Ancient Egyptian temples were models of the cosmos, and this layout meant that they mirrored the sun god’s trajectory through the sky. Exceptionally, however, it also possesses a north–south axis, which orients it towards another temple, the abode of Amenemopet known today as Luxor Temple. This was a different version of Amun specific to south Luxor. Karnak and Luxor Temple were linked by a processional way lined with sphinxes. This was used in one of the most important celebrations of the ancient Egyptian calendar, the Opet Festival.

In addition to the ancient Egyptians’ mastery of stone, which is evident everywhere in the scale of the monuments, the reliefs covering their walls, and the statues populating them, several highlights are worth mentioning. The temple of Amun’s world‑famous Great Hypostyle Hall is a forest of 134 columns. These massive columns have a height of 15 metres, aside from the larger, central, twelve, which stand 21 metres tall. The hall may have been begun by Amenhotep III (c. 1390–1352 BC; 18th Dynasty), but the bulk of the construction, and all of the decoration, are from the reigns of 19th Dynasty kings Sety I (c. 1294–1279 BC) and his son Rameses II (c. 1279–1213 BC). Two magnificent obelisks stand nearby, the larger of the two, erected by Hatshepsut (c. 1473–1458 BC), standing at a colossal height of almost 30 metres and weighing over 300 tons. At the eastern end of Karnak is the Akh-menu, a temple by Thutmose III (c. 1479–1425 BC) dedicated to the cults of various deities, his royal predecessors, as well as his own cult.

          The enclosure walls of the Amun Precinct also include a full temple to Khonsu in the southwestern corner, next to which is the temple of Opet, a hippopotamus goddess of childbirth, mostly built in the Ptolemaic Period. The beautiful sacred lake, where priests purified themselves before carrying out temple rituals, can still be appreciated today. Many more, smaller, temples and chapels dot the landscape of Karnak, making it a veritable open‑air museum.","2026-05-10 15:02:59"
3,"Abu Simbel Temples","The Great Temple of Abu Simbel, in Nubia near Egypt’s southern border, is among the most awe-inspiring monuments of Egypt. It was cut into the living rock by King Ramesses II (the Great) of the Nineteenth Dynasty, around 1264 BC. The temple is most well known for the four imposing seated colossal statues that dominate its façade. One of these collapsed because of an ancient earthquake, and its fragments can still be seen on the ground.

Colossal standing statues of the king line the main hall, leading to the sanctuary where four deities are sat: Amun Ra, Ra Horakhty, Ptah, and a deified version of Ramesses II. The temple was built with such precision that on two days a year, the 22nd of February and 22nd of October, the sun’s rays enter the temple, cross the main hall, and illuminate the innermost statues.  

Another rock-cut temple to the north, known as the Small Temple, is dedicated to the goddess Hathor and Ramesses II’s Great Royal Wife, Queen Nefertari. On the façade of the Small Temple, her colossi are the same size as those of her husband, a very rare example of such display.

The two temples were moved from their original location in 1968 after the Aswan High Dam was built, as it threatened to submerge them. The relocation was completed thanks to an international effort led by UNESCO, and the temple was admitted into its list of World Heritage Sites in 1979.","2026-05-10 15:04:39"
4,"Citadel of Cairo","The Citadel of Sultan Salah al-Din al-Ayyubi (Saladin) is one of the most iconic monuments in Islamic Cairo, and among the most impressive defensive fortresses dating to the Middle Ages. Its strategic location on the Muqattam Hills gave it a formidable defensive position, and offered, as it still does today, an unrestricted panoramic view of Cairo.

          Sultan Salah al-Din al-Ayyubi was the first to order the construction of a fortress over the Muqattam Hills in (572 AH/ 1176 AD), but it was not completed during his lifetime. This was achieved during the reign of Sultan al-Kamel ibn al-Adel (604 AH/1207 AD) who decided to reside in it, making it the official residence of the rulers of Egypt. In the mid-nineteenth century, Khedive Ismail moved the official residence to Abdeen Palace in downtown Cairo.

          The Citadel witnessed some of the most significant events in Egyptian history from the time it was built to the end of the Muhammad Ali Dynasty, which was in power from the early nineteenth century until the 1952 revolution, when the modern Egyptian republic was born. Many monuments were added to the Citadel over the centuries, providing visitors today with an array of places to visit, such as the Mosque of Muhammad Ali Pasha, which dominates the Citadel. Other places to visit include the mosque of the Mamluk sultan al-Nasir Muhammad ibn Qalawun, the Ottoman-era Sulayman Pasha al-Khadim Mosque, as well as a number of museums such as the Police Museum, Al-Jawhara Palace Museum, and the Military Museum.","2026-05-10 15:05:26"
5,"Hanging Church","This church was known as the” Hanging Church“ because it was built over the ruins of Old Cairo‘s Roman fort, and situated near the Coptic Museum.

          The church is made up of a court divided into four wings separated by three rows of marble columns. A wooden semi-circular vaults covers the main court. The church also contains an inscribed granite baptismal tank and a marble pulpit carried upon ten columns decorated with mosaic. The pulpit dates to the eleventh century AD.

          The east side houses five alters surmounted by wooden domes. The church's ceiling was made to look like Noah's Ark. The Hanging Church is famous for the icons that decorate its walls. The oldest dates to the fifteenth century AD, while most of the rest date to the end of the eighteenth century AD.","2026-05-10 15:12:08"
6,"Catacombs of Kom El Shoqafa","The catacombs of Kom El Shukafa
The Catacombs of Kom El-shokafa which date from the second century A.D are unique both for their plan and for their decoration which is a mixture of Egyptian and Greco-Roman elements . Excavations in the site started in 1892, but the catacombs were not found until 1900 when by mere chance the falling of a donkey drawing a cart in a pit led to their discovery. The tomb consists of three stories cut in the rock, but the lower one gets filled with subsoil water and for this reason most of it has been filled with sand. A staircase (A) goes round a large shaft, down which the dead bodies used to be lowered by rops. The stair ends at the first floor with a vestibule (B) with a semi circular niche on each side. Each niche is fitted with a bench and roofed with a shell. This leads to a rotunda (C) with another large shaft in the middle surrounded by a parapet upon which stand eight pillars supporting the domed roof. At the bottom of the shaft were found five stone heads which were removed to the Museum (Hall 16) and casts of them were made and can be seen on the parapet. To the left of the rotunda is the banquet hall (D) or triclinum, where relatives and friends of the dead could meet on special occasions . Here are cut in the rock three large benches on which they could recline upon mattresses while eating. The tables have disappeared and were probably made of wood. From the rotunda a staircase (E) leads down to the second storey, the main part of the tomb, which consists of a vestibule and a burial chamber. The vestibule(F) has two fine columns with floral capitals and two pilastere with capitals of papyrus and acanthus intermingle, the four support a cornice adorned with a winged solar disk between two falcons and with a kind of denticulated friez. Above the cornice 18 a law arched pediment decorated in the middle with the solar disk. On both sides of the vestibule two niches in the shape of Egyptian door-ways are hewn in the rock with two statues lnelde, one of a woman (to the left) and the other one of a man (to the right). These two statues, except for the heads, were executed according to the rules of Egyptian art.

They are represented standing with one foot in advance to the other and with both hands stretche down on the sides. The woman in clad in a long tight dress which covers the body till just above the feet, while the man wears a kilt. The hair dress of them is typical Roman like those which date from the second century A.D. In the middle of the wall at the back of the vestibule is a door surmounted by a cornice decorated with the winged sun disk and a frieze of urael (cobras). To the right and left of this door, on two pedestals in the form of an Egyptian naos, are two great serpents carved in the relief , wearing the double crown of Upper and Lower Egypt. Each of the two serpents has on one side the pine-cone (Hyrsus), symbol of Dionysus, and on the other the serpent- wand (caduceus), symbol of Hermes. These serpents seem to represent not only Agathodemons (l.e good genii) but also the serpents sacred to the Egyptian gods of the dead Osiris and Isis and to Hermes, the guide of dead in the other world according to Greek mythology. Above the head of each of these two serpents is a head of Medusa on a round shield, intended, no doubt, to frighten and keep the robbers away from the tomb. The burial chamber(G) contains three large recesses on three sides. In each of them a sarcophagus is cut in the rock, complete with its lid. They closely resemble each other, and are decorated with festoons of flowers, masks and bulls-heads. The lids are not separate and bodies were entered from opening in the passage behind. The back wall of the central sarcophagus shows a typical Egyptian scene of mummification; In the middle on a funerary-bed lies the mummy, while the jackal- headed Anubis, god of mummification, stands behind the bed with his right hand on mummy, while the left carries a vase. Underneath the bed are three canopic jars Intended to contain the viscera of the deceased, one has a cover in the shape of a flacon’s head, the second a human head, and the third an ape’s head. At the head of the bed, which takes the shape of a lion`s head stands the lbis –headed Thoth, god of wisdom. He holds in his right-hand avase and in the left a scepter. At the foot of the bed stands the falcon headed god Horus, who holds in his right hand a sceptre and in the left hand a vase. The reliefs on the sides represent, to the right a woman standing, with the sun-disk on her head, sign of deification, up lifting both her hands in the gesture of adoration in front of a priest with two feathers on his head.

He offers her a lotus hud and a cup with a n ewer. Between the two is an altar decorated with lotus flower. The scene to the left represents a man standing, holding something in his right hand and uplifting his left hand in adoration. In front of him stands a lector priest holding a roll of papyrus in both hands. Between the two is an altar decorated with lotus flowers. On the back wall of the niche to the right we see the king standing, wearing the double crown of Upper and Lower Egypt and holding a necklace in both hands which he offers to the sacred bull represented standing on a pedestal with a goddess behind, probably Isis, protecting the bull with her two outstretched wing. The right side represents a mummy standing with the sun-disk on its head, holding a long staff with both hands. In front of it stands a jackal-headed god with the sun-disk on his head holding a long staff with both hands. Between the two is an altar with a vase on it. On the other side, to the left the left, we see the king standing, wearing headdress with the sun-disk encircled by the sacred cobra. His right arm is stretched down to his side, while he offers a feather (symbol of truth)by his left hand to the god standing in front of him, This god, most probably being in the form of a mummy, is represented standing with the sun disk on his head, holding a scepter with both hands. Between the two is an altar adorned with lotus flowers. The scene on the back of the niche on the left hand side is nearly the same as that on the right hand side.

It represents the king who offers a necklace to the sacred bull standing on a pedestal with a goddess behind protecting the bull with her outstretched wings. On the lateral side, to the right, is represented the king standing with the sun disk and cobra on his head holding a long staff with both hands. In front of him the Falcon headed god Horus stands wearing the double crown of Upper and Lower Egypt, holding a long staff with both hands. Between the two is an altar with a vase on it, on the lateral side to the left we see the king standing, wearing a kilt. He offers a feather with his right hand to a god standing in front of him. This god is represented in the shape of a mummy with the sun disk on its head. Between the two stands an altar adorned with flowers. On both sides of the entrance to this burial chamber, on the way out, we see on the right hand side the Egyptian Jakal-headed god Anubis in a military uniform. He is represented standing with the sun disk on his head, holding a long staff with his right hand. On the other side of the entrance, the same god is represented with the lower part of a dragon. These divinities are again a mixture of Egyptian and Greco-Roman form, which makes this tomb a unique example in its kind. Surrounding this part of the tomb are narrow passages with more than 300 loculi in two rows for burial (H), of which those in room (J.) were for the followers of goddess Nemesis. In one of the loculi was found the mummy of a priestess of this goddess with a golden chain round her neck, adorned with the wheel of this goddess and other thin leaves of gold which covered the eyes, the breast, the tongue, the mouth, and even the nails of fingers and toes. We now return to the rotunda (C), and enter, through a breach in the rock, to an entirely different set of tombs. These are lit by a square shaft at the bottom of which stands an altar. They could be reached directly from outside by a staircase hewn in the rock but it is now blocked. This part is called after the Emperor Caracalla because of the bones which were found in it and which were believed to have been the result of the massacre which happened during his visit to Alexandria . But the bones found there belong more to animals, and specially horses, than to human beings. As this part of the tomb was dedicated to Nemesis. Goddess of sports , it is thought that horses which won in races were honoured after their death and buried here under the protection of the goddess.","2026-05-10 15:27:06"
7,"Hurghada Beaches","Crystal-clear Red Sea waters, vibrant reefs, and lively beachfront resorts.","2026-05-09 18:03:18"
8,"Sharm El Sheikh","World-class diving spots, coral-rich bays, and sunny coastal promenades.","2026-05-09 18:03:18"
9,"Dahab Blue Lagoon","Relaxed beach atmosphere, turquoise waters, and adventure-friendly shoreline.","2026-05-09 18:03:18"
10,"Alexandria Corniche","Historic Mediterranean waterfront with sea views, cafes, and city landmarks.","2026-05-09 18:03:18"
